timesteps,episode_reward,episode_length
56,135.284782,56
112,126.71706,56
168,129.391677,56
224,106.240836,56
280,118.967634,56
336,79.568453,56
392,125.337505,56
448,108.496122,56
504,116.657752,56
560,116.265558,56
616,130.641249,56
672,92.146687,56
728,119.876707,56
784,130.536079,56
840,118.860571,56
895,131.245022,55
951,133.207436,56
1007,108.224712,56
1063,119.091773,56
1119,108.030864,56
1175,87.505443,56
1231,107.250926,56
1287,128.879457,56
1343,95.066964,56
1399,135.331521,56
1455,112.522854,56
1511,116.590696,56
1567,108.906556,56
1623,98.189413,56
1679,124.733841,56
1735,105.749066,56
1791,133.557413,56
1847,134.593573,56
1903,131.847569,56
1959,128.385355,56
2015,87.189769,56
2071,110.512019,56
2127,131.995615,56
2183,115.054785,56
2239,121.909497,56
2295,125.861341,56
2351,112.378831,56
2407,121.59914,56
2463,133.255001,56
2519,129.50351,56
2575,136.433272,56
2631,103.092452,56
2687,131.287753,56
2743,127.456072,56
2799,122.832854,56
2855,98.899447,56
2911,110.02793,56
2967,127.545325,56
3023,109.706708,56
3079,128.291056,56
3135,121.628014,56
3191,102.18022,56
3247,120.140785,56
3303,121.888515,56
3359,120.184075,56
3415,120.539792,56
3471,122.057893,56
3527,129.374006,56
3583,114.888872,56
3639,104.372805,56
3695,100.879008,56
3751,126.924514,56
3807,118.14201,56
3863,111.473878,56
3919,116.259816,56
3975,106.282203,56
4031,128.083531,56
4087,133.234081,56
4142,131.471029,55
4198,114.106528,56
4254,100.947891,56
4310,130.83026,56
4366,98.3392,56
4422,125.981281,56
4478,90.273274,56
4534,98.391485,56
4590,116.280754,56
4642,117.137009,52
4698,122.007948,56
4754,108.833289,56
4810,107.840896,56
4866,126.13814,56
4922,88.845508,56
4978,121.555004,56
5034,127.955884,56
5090,127.3446,56
5146,128.330741,56
5202,114.447522,56
5258,130.91576,56
5314,114.684119,56
5370,137.12495,56
5426,108.669708,56
5482,119.649251,56
5538,127.44002,56
5594,119.355655,56
5650,133.753187,56
5706,128.268382,56
5762,116.300871,56
5818,126.646196,56
5874,123.118111,56
5930,133.08419,56
5986,121.18575,56
6042,117.12399,56
6098,113.882111,56
6154,130.337716,56
6210,88.445428,56
6266,38.437021,56
6322,130.175554,56
6378,66.070255,56
6434,121.360085,56
6490,106.471626,56
6546,124.070228,56
6602,112.027368,56
6658,121.087439,56
6714,122.203516,56
6770,110.990693,56
6826,126.899702,56
6882,137.600306,56
6938,96.854793,56
6994,120.594689,56
7050,125.654587,56
7106,63.361009,56
7162,120.350558,56
7218,120.345502,56
7274,115.982277,56
7330,136.102114,56
7386,135.223449,56
7442,99.759743,56
7498,127.087711,56
7554,127.096203,56
7610,100.477407,56
7666,122.811709,56
7722,100.873266,56
7778,120.662028,56
7834,131.528218,56
7890,123.818037,56
7946,118.611101,56
8002,126.075591,56
8058,113.384858,56
8114,102.394354,56
8170,74.180317,56
8226,122.209202,56
8282,126.970788,56
8338,121.006489,56
8394,126.880368,56
8450,93.50269,56
8506,121.288773,56
8562,118.218893,56
8618,107.583056,56
8674,107.997566,56
8730,96.368709,56
8786,131.155425,56
8842,128.875072,56
8898,76.656718,56
8954,73.657715,56
9010,135.618366,56
9066,120.94064,56
9122,117.805913,56
9178,95.122026,56
9234,136.411271,56
9290,123.03706,56
9346,115.812965,56
9402,113.859518,56
9458,115.456531,56
9514,112.335318,56
9570,74.168012,56
9626,121.15264,56
9682,95.610179,56
9738,124.118752,56
9794,122.720293,56
9850,125.539055,56
9906,92.485005,56
9961,133.885579,55
10017,123.250355,56
10073,113.773149,56
10129,128.960198,56
10185,118.431388,56
10241,126.507283,56
10297,126.859184,56
10353,124.434295,56
10409,132.121384,56
10465,127.331395,56
10521,128.16931,56
10577,130.376842,56
10633,125.080491,56
10689,136.076166,56
10745,107.98584,56
10801,126.287365,56
10857,123.12244,56
10913,129.634775,56
10969,109.25526,56
11025,124.164054,56
11081,103.93346,56
11137,129.492738,56
11193,129.097925,56
11249,121.026818,56
11305,121.368252,56
11361,69.15115,56
11417,117.597249,56
11473,122.289424,56
11529,93.92451,56
11585,109.884999,56
11641,115.091719,56
11697,126.234754,56
11753,125.225574,56
11809,124.205111,56
11865,107.234488,56
11921,117.734145,56
11977,114.515662,56
12033,130.330035,56
12089,107.579645,56
12145,81.374468,56
12201,121.03114,56
12257,126.487162,56
12313,126.649392,56
12369,115.261117,56
12425,108.314047,56
12481,121.040458,56
12537,122.205858,56
12593,108.705834,56
12649,131.29257,56
12705,133.591016,56
12761,139.991657,56
12817,130.240091,56
12873,139.346825,56
12929,125.954592,56
12985,122.083072,56
13041,101.005671,56
13097,135.229198,56
13153,106.600706,56
13209,121.965237,56
13265,122.605608,56
13321,104.003559,56
13377,109.926237,56
13433,125.743505,56
13489,122.013559,56
13545,117.499262,56
13601,91.448004,56
13657,116.463911,56
13713,128.564519,56
13769,116.529246,56
13825,127.375405,56
13881,117.691881,56
13937,110.896796,56
13993,124.902107,56
14049,140.853025,56
14105,119.629517,56
14161,127.79174,56
14217,128.631195,56
14273,132.847406,56
14329,113.915913,56
14385,121.872247,56
14441,120.210871,56
14497,108.795869,56
14553,127.087228,56
14609,125.211227,56
14662,130.00418,53
14718,118.853141,56
14774,116.980217,56
14830,135.956664,56
14883,123.26817,53
14939,98.308582,56
14995,116.79968,56
15051,105.085213,56
15107,118.506901,56
15163,118.638702,56
15219,133.327073,56
15275,142.071806,56
15331,136.024235,56
15387,132.564854,56
15443,118.26025,56
15499,125.47209,56
15555,129.883523,56
15611,121.560135,56
15667,135.079355,56
15723,121.110425,56
15779,129.011053,56
15835,102.719534,56
15891,116.125561,56
15947,133.887395,56
16003,98.334831,56
16059,116.37579,56
16115,132.260614,56
16171,124.198428,56
16227,113.88451,56
16283,126.274331,56
16339,107.960954,56
16395,130.854933,56
16451,116.263245,56
16507,108.69963,56
16563,120.549517,56
16619,122.489491,56
16675,96.071667,56
16731,126.148021,56
16787,120.273083,56
16843,124.636945,56
16899,131.668067,56
16955,114.50226,56
17011,114.841188,56
17067,117.079155,56
17123,126.336669,56
17179,115.239754,56
17235,125.078194,56
17288,122.995965,53
17344,97.758026,56
17397,124.547904,53
17453,108.425763,56
17509,140.081644,56
17565,130.436497,56
17621,131.001129,56
17677,111.592929,56
17733,129.674304,56
17789,104.916902,56
17845,115.560549,56
17901,130.962365,56
17957,129.416947,56
18006,115.585328,49
18062,114.541943,56
18118,123.735918,56
18174,122.854222,56
18230,129.837956,56
18286,139.159201,56
18342,119.160195,56
18398,128.05348,56
18454,113.747567,56
18510,122.230863,56
18566,119.034154,56
18622,96.80052,56
18678,133.931361,56
18734,96.992826,56
18790,130.054547,56
18846,95.794571,56
18902,131.161782,56
18958,122.042088,56
19014,111.815671,56
19069,136.17629,55
19125,128.772622,56
19181,130.814087,56
19237,121.676772,56
19293,130.478699,56
19349,90.072894,56
19405,140.367854,56
19461,130.885907,56
19517,138.844881,56
19573,131.329743,56
19629,114.506454,56
19685,120.573596,56
19736,109.823824,51
19792,131.901602,56
19848,137.97968,56
19904,127.971521,56
19960,122.564978,56
20008,112.271422,48
20064,129.249107,56
20120,108.17638,56
20176,110.589718,56
20232,131.825683,56
20288,117.398314,56
20344,132.483145,56
20400,127.048739,56
20456,111.966392,56
20512,123.173953,56
20568,132.389884,56
20624,113.379337,56
20680,132.694184,56
20736,112.559137,56
20792,127.205833,56
20848,113.259651,56
20904,123.290061,56
20960,99.810422,56
21016,119.051655,56
21072,115.987958,56
21128,124.611857,56
21184,113.275186,56
21240,129.492518,56
21296,129.035517,56
21352,128.126812,56
21408,126.875074,56
21464,130.734523,56
21520,116.286758,56
21576,132.794233,56
21632,121.128237,56
21687,136.520548,55
21743,130.028927,56
21799,132.315861,56
21855,133.537046,56
21911,114.07069,56
21967,97.782156,56
22023,94.307881,56
22079,126.788122,56
22133,128.636712,54
22189,92.104664,56
22245,124.966175,56
22301,112.404327,56
22357,130.626625,56
22413,137.329466,56
22469,119.430391,56
22525,126.079394,56
22578,133.556741,53
22634,125.670533,56
22690,132.89784,56
22746,121.206759,56
22802,135.299671,56
22852,113.092686,50
22908,138.573091,56
22964,135.203433,56
23020,125.559675,56
23076,122.599276,56
23132,106.193032,56
23188,131.514995,56
23244,116.534257,56
23300,108.871656,56
23356,121.075029,56
23412,129.162115,56
23468,122.77635,56
23524,129.434624,56
23580,118.198232,56
23636,118.037895,56
23692,130.348677,56
23748,117.707471,56
23804,128.123137,56
23860,109.396602,56
23916,131.431985,56
23972,123.378034,56
24028,137.083909,56
24084,125.947465,56
24140,111.773864,56
24196,120.639486,56
24252,127.584697,56
24308,94.67381,56
24364,132.730015,56
24420,133.259336,56
24476,104.826461,56
24532,118.982021,56
24588,117.659762,56
24644,126.401583,56
24700,137.253132,56
24756,128.553023,56
24812,109.026696,56
24868,116.890459,56
24924,124.290404,56
24980,123.722068,56
25036,127.000695,56
25092,114.457792,56
25148,132.22115,56
25204,131.665636,56
25260,95.382459,56
25312,124.670439,52
25368,136.739578,56
25424,122.953161,56
25480,129.220318,56
25533,128.327323,53
25589,121.220972,56
25645,107.881165,56
25701,124.190949,56
25757,129.730088,56
25813,113.662995,56
25869,134.518403,56
25925,136.443903,56
25981,121.628477,56
26037,116.765549,56
26093,132.685651,56
26149,125.839128,56
26205,132.906023,56
26261,132.958709,56
26317,133.853197,56
26373,122.949714,56
26429,104.101261,56
26485,115.893498,56
26541,93.719043,56
26597,122.820455,56
26653,137.589503,56
26709,85.088899,56
26765,128.25324,56
26821,131.122005,56
26877,124.846159,56
26933,125.082949,56
26989,121.934342,56
27045,130.195147,56
27101,128.647281,56
27157,127.494266,56
27213,110.808402,56
27269,130.429356,56
27325,129.986303,56
27372,115.009802,47
27428,135.329774,56
27484,118.861826,56
27540,129.207572,56
27596,122.658223,56
27652,108.201419,56
27708,130.113639,56
27764,127.862469,56
27820,110.098927,56
27876,135.361213,56
27932,138.363594,56
27988,130.605659,56
28044,124.514863,56
28100,124.97348,56
28156,134.431888,56
28212,139.434011,56
28268,124.096431,56
28324,128.580268,56
28380,128.021845,56
28436,50.068843,56
28492,115.028221,56
28548,107.91559,56
28603,122.930577,55
28659,129.3126,56
28715,117.592287,56
28771,133.042422,56
28827,111.278051,56
28883,118.877855,56
28939,129.070242,56
28995,133.961513,56
29051,134.285087,56
29107,138.779679,56
29161,124.65454,54
29217,120.733527,56
29273,121.34587,56
29329,126.784305,56
29385,112.173338,56
29441,129.422684,56
29497,121.498904,56
29553,136.719264,56
29609,132.255829,56
29665,130.877706,56
29721,86.540119,56
29777,129.118007,56
29833,135.763561,56
29889,122.587551,56
29945,114.223821,56
30001,125.928488,56
30057,122.068444,56
30113,99.557031,56
30169,123.934159,56
30225,123.834,56
30281,134.331779,56
30337,128.319105,56
30393,131.71855,56
30449,95.08365,56
30505,135.51805,56
30561,121.072355,56
30617,128.625362,56
30673,118.408122,56
30729,137.917255,56
30785,141.134157,56
30841,118.938504,56
30897,135.552324,56
30953,127.278926,56
31009,126.307979,56
31065,125.495204,56
31121,107.459007,56
31169,115.278659,48
31225,130.661381,56
31281,114.408993,56
31332,118.540077,51
31388,131.162388,56
31444,128.754463,56
31500,133.538847,56
31556,119.503633,56
31612,130.449136,56
31668,138.118012,56
31724,118.110131,56
31780,133.76735,56
31836,135.55564,56
31892,122.926252,56
31948,123.462572,56
32004,131.309557,56
32060,125.373235,56
32116,132.924834,56
32172,112.008261,56
32228,122.359774,56
32284,107.69354,56
32340,123.771833,56
32396,138.232762,56
32452,132.670445,56
32508,121.545445,56
32564,107.555585,56
32620,132.092357,56
32676,121.097441,56
32732,129.395003,56
32779,115.904196,47
32835,134.67474,56
32891,126.334328,56
32947,122.786258,56
33003,121.030937,56
33059,122.862004,56
33115,131.347031,56
33166,116.869129,51
33222,114.504003,56
33278,124.466202,56
33334,130.509067,56
33390,132.831505,56
33446,137.384467,56
33502,118.256446,56
33558,135.3974,56
33614,130.76095,56
33670,122.309421,56
33726,133.409056,56
33782,129.35044,56
33838,126.386219,56
33894,129.022919,56
33950,124.189435,56
34006,112.6558,56
